tracking_id	SANO_0	SANO_1	SANO_2	CANCER_0	CANCER_1	CANCER_2
MSTRG.12317	10.6057	3.85688	7.70777	5.80493	3.466	4.94634
MSTRG.12318	30.9214	37.6616	21.7462	51.6213	13.3951	8.52411
MSTRG.12319	23.9488	19.4434	20.0959	14.3857	18.4053	18.2857
MSTRG.1232	9.47614	9.30988	7.32614	6.62224	9.08999	7.29084
MSTRG.12320	8.22207	6.63206	7.67919	5.50164	4.15651	4.91023
MSTRG.12321	7.38289	9.57676	11.5603	6.15347	6.98008	13.791
MSTRG.12322	6.29278	9.84151	9.54542	6.19851	7.69348	10.0815
MSTRG.12323	26.8017	16.5217	18.3242	22.5835	67.3772	52.8781
MSTRG.12324	10.2288	5.31695	6.5423	6.04427	8.68559	14.8922
MSTRG.12325	0.103322	0.0762034	0.0433191	0.0990348	0.0366122	0.0276681
MSTRG.12326	2.76829	1.88703	1.67942	1.73847	1.33765	1.32537
MSTRG.12327	21.4731	18.4028	21.8539	20.2978	25.8125	26.8212
MSTRG.12328	0.279732	0.324263	0.470322	0.989664	2.09701	11.9691
MSTRG.12329	23.6609	44.6954	42.6608	34.223	15.0083	14.5449
MSTRG.1233	8.4125	8.35266	9.02769	6.97691	12.1574	14.737
MSTRG.12330	7.38649	0.738054	1.80652	3.47112	4.97461	8.259
MSTRG.12331	0	0.0101023	0.00861421	0	0.43683	0
MSTRG.12332	0	0.0236042	0.0805226	0	1.76957	0.154296
MSTRG.12333	0	0	0	0	1.49321	0
MSTRG.12334	0.197448	0.511079	0.0827751	0.398572	241.215	1.11044
MSTRG.12335	0	0.0652519	0.0111281	5.43315	31.4884	1.7911
MSTRG.12336	13.163	10.3189	9.62063	17.2704	28.3987	27.7452
MSTRG.12337	6.59432	4.11817	5.10051	4.39183	5.85519	5.82533
MSTRG.12338	4.19452	4.29716	3.68797	5.28195	9.55737	12.7549
MSTRG.12339	22.5585	17.8873	15.8806	24.5635	32.0519	33.8073
MSTRG.1234	8.31742	4.34558	4.7433	8.63887	9.01737	1.39737
MSTRG.12340	0	0	0.231892	0.187139	0.940749	0.82942
MSTRG.12341	1.86402	0.632835	0.744302	0.863443	1.82429	4.61127
MSTRG.12342	4.23467	2.8171	2.77661	3.05514	7.62586	14.4541
MSTRG.12343	9.20934	10.4983	10.6779	6.25178	5.68533	1.72789
MSTRG.12344	1.22264	1.1204	1.16523	1.88144	4.53846	4.49516
MSTRG.12345	142.273	115.48	163.091	130.851	163.247	396.106
MSTRG.12346	0	0.270213	0.153607	0	0.649166	1.76613
MSTRG.12347	93.8002	69.0844	71.8448	72.6994	58.9223	63.6372
MSTRG.12348	1.71824	1.15943	2.43027	1.09006	6.08431	6.41977
MSTRG.12349	32.7825	29.5528	31.111	28.6058	24.6907	29.2292
MSTRG.1235	3.25745	2.20969	2.27622	1.63282	3.80485	3.71535
MSTRG.12350	0	0	0	0	184.02	0
MSTRG.12351	10.2652	10.5989	14.1385	12.2285	10.3825	15.426
MSTRG.12352	0.798335	2.87531	2.07522	1.95834	1.8105	2.50126
MSTRG.12353	4.13088	11.9836	10.1318	6.98839	8.48993	4.42476
MSTRG.12354	31.0918	35.2745	43.1921	31.225	39.544	143.076
MSTRG.12355	6.56645	10.5167	9.39169	8.16122	5.92846	5.22799
MSTRG.12356	0	0	0	0	43.0152	0
MSTRG.12357	3.5379	5.87123	8.25094	7.10745	2.1939	2.3685
MSTRG.12358	173.667	105.834	133.812	139.001	101.036	128.643
MSTRG.12359	57.0849	18.1022	32.1435	32.8795	59.0736	103.242
MSTRG.1236	73.1284	62.727	50.472	58.3584	52.618	36.1913
MSTRG.12360	9.94501	7.49371	8.25578	7.65511	11.3474	13.1559
MSTRG.12361	19.6187	12.1003	15.6394	11.0621	6.26103	7.73533
MSTRG.12362	14.8621	11.2249	10.9953	15.5705	17.9589	32.2134
MSTRG.12363	14.4206	7.65209	8.39565	10.4408	19.0836	24.6868
MSTRG.12364	33.0242	29.6072	41.9232	27.016	27.6027	28.213
MSTRG.12365	22.3351	15.4177	16.699	18.6169	32.3246	38.4667
MSTRG.12366	0.737333	0.300517	0.425022	0.40319	2.27958	2.41016
MSTRG.12367	3.14654	0.533733	0.391042	2.29121	8.47503	6.97173
MSTRG.12369	7.65147	1.00328	0.996568	2.62239	2.76521	2.21562
MSTRG.1237	6.75737	9.72659	9.05596	3.35784	4.08675	22.2969
MSTRG.12370	49.6655	36.8679	33.6696	44.2615	50.633	42.9695
MSTRG.12371	74.6148	41.9107	51.2921	55.2812	64.5876	84.4157
MSTRG.12372	11.417	10.0045	19.5898	11.0463	5.43043	20.6917
MSTRG.12373	4.21432	5.15409	4.7063	3.06883	1.05991	2.6183
MSTRG.12374	97.8125	58.8386	76.9142	73.1879	90.2254	164.145
MSTRG.12375	11.1897	10.1991	9.31012	11.2227	13.0701	13.3444
MSTRG.12376	3.82597	9.37163	6.35391	8.24858	14.6935	25.3764
MSTRG.12377	119.985	115.336	124.136	90.8058	169.168	211.456
MSTRG.12378	15.1888	0.859988	1.51698	3.67412	263.892	51.1385
MSTRG.12379	16.9757	12.781	13.7157	12.8635	20.0512	37.5035
MSTRG.1238	6.2095	5.24346	3.8416	4.89027	7.39466	4.76052
MSTRG.12380	7.00078	1.98595	2.02234	2.95852	74.4749	14.4968
MSTRG.12381	68.5316	45.2754	36.9931	47.758	66.3274	61.9794
MSTRG.12382	9.56812	6.53699	6.84758	10.0413	19.9774	30.0428
MSTRG.12383	106.955	70.4135	107.555	91.983	121.332	254.7
MSTRG.12384	85.4262	100.009	83.8599	141.969	153.446	149.693
MSTRG.12385	5.68195	4.97638	8.41227	7.20929	6.16605	10.2704
MSTRG.12386	18.1239	16.9522	16.5565	15.0788	17.7998	28.7966
MSTRG.12387	51.9509	22.6344	34.0224	38.2507	55.6866	78.6649
MSTRG.12388	38.3316	46.7466	46.9785	31.1188	25.0786	27.072
MSTRG.12389	10.3292	12.6863	15.4905	9.34011	3.33421	7.63732
MSTRG.1239	2.95784	1.12283	2.3439	1.74771	5.77994	4.68604
MSTRG.12390	0.282555	0.0231557	0	0.0398342	0.100124	0.0252216
MSTRG.12391	20.8918	16.5329	21.7538	18.0251	11.8751	15.196
MSTRG.12392	34.0316	14.4532	14.1328	18.8685	23.6365	28.9556
MSTRG.12393	0.484284	0.277804	0.135362	0.546478	2.40249	0.864562
MSTRG.12394	262.437	108.934	283.83	236.533	84.6881	56.906
MSTRG.12395	73.0109	62.123	62.2589	67.8295	83.7462	139.222
MSTRG.12396	2.75593	7.3846	1.61577	2.85795	1.74599	1.45145
MSTRG.12397	9.98947	12.7061	10.0575	10.9846	9.55724	10.8845
MSTRG.12398	6.27309	7.1273	4.8719	10.5243	15.8182	14.9472
MSTRG.12399	5.66887	3.53754	3.522	2.62476	2.81386	3.45114
MSTRG.124	1.57592	2.79635	1.46177	9.16578	7.31821	4.15533
MSTRG.1240	16.1461	14.4037	11.9505	20.4642	14.9954	25.8961
MSTRG.12400	5.15471	3.63174	1.57667	3.85527	2.21639	2.75593
MSTRG.12401	37.6681	91.2411	33.4345	60.0388	6.84679	2.9218
MSTRG.12402	2.27569	3.2401	5.53316	3.87936	4.47083	4.95251
MSTRG.12403	0.54389	0.652433	0.512386	0.538128	1.35131	0.47828
MSTRG.12404	69.8384	102.099	115.094	76.5263	116.692	90.3096
MSTRG.12405	38.1032	29.8554	36.719	30.8944	39.9159	39.5479
MSTRG.12406	28.2622	14.6934	15.4046	23.9157	26.714	35.2293
MSTRG.12407	3.22397	2.77409	7.77224	5.45412	5.71208	4.31666
MSTRG.12408	2.26451	0.35789	0.576438	1.29979	1.43291	2.16572
MSTRG.12409	2.95508	1.04336	1.50916	2.8719	2.96317	4.52908
MSTRG.1241	0.994388	1.04948	0.988868	0.945048	4.27821	3.98902
MSTRG.12410	29.3475	26.6688	28.9517	34.1965	24.2553	29.7254
MSTRG.12411	0.956241	1.51743	1.49657	1.22826	0.790582	0.213378
MSTRG.12412	14.9843	21.62	19.2686	25.6201	11.3317	14.9493
MSTRG.12413	3.34565	4.06737	3.21156	4.67481	6.1702	2.68942
MSTRG.12414	7.75095	5.90123	6.52164	8.85468	18.104	31.3522
MSTRG.12415	13.8514	8.77153	9.44335	8.92233	11.3885	18.1964
MSTRG.12416	106.069	104.568	209.84	39.3289	49.1215	37.0323
MSTRG.12417	0.783564	0.692425	0.866529	0.617597	3.43294	3.68186
MSTRG.12418	0	0.190517	0.893497	0.327753	0	0.62256
MSTRG.12419	0	0.0353284	0.110457	0.0405178	0.305526	1.00052
MSTRG.1242	2.20378	1.01911	0.55862	2.8736	1.73419	1.85175
MSTRG.12420	27.3166	11.2256	12.0688	17.5811	18.2356	59.4305
MSTRG.12421	0	12.1476	18.1269	0	0	26.4634
MSTRG.12422	0	2.86547	2.44338	0	0	31.212
MSTRG.12423	23.3112	0	4.88677	0	0	12.4848
